Volume of exports of major arms by the top suppliers  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:07:33 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,Brazil,,,,,,,,,,,2,12,,,,,,,,18,,0,,,12,69,76,156,204,80,160,71,128,204,280,209,140,216,208,53,108,129,99,40,54,38,27,27,18,,,,21,,46,1,44,54,93,44,147,32,33,31,31,53,134,36,102,21,164,86,10,54,112,153,4336,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,Australia,,,36,,,125,,,,,,2,4,,,,,,,26,17,36,6,72,92,131,113,62,21,22,15,17,26,31,62,10,57,89,12,18,156,84,,30,24,36,10,14,4,,,43,47,44,2,49,26,53,57,86,137,143,45,54,94,79,136,101,39,129,406,175,19,81,73,108,3683,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,129,402,63,454,293,49,64,58,19,53,43,5,224,41,161,98,97,269,101,142,152,52,86,84,59,111,58,45,65,1,3495,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,South Africa,,,,,,,,,,8,27,33,,,,,,8,9,13,2,7,22,1,2,29,20,0,,,49,49,1,,,25,25,28,25,0,,54,85,54,13,17,31,7,14,24,21,32,22,47,74,36,200,137,142,108,250,76,193,109,89,76,118,100,118,129,150,143,113,105,96,115,3478,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,319,146,123,24,21,58,83,89,60,65,2,72,44,34,34,24,5,10,8,41,26,151,153,89,92,19,26,6,168,113,189,137,2628,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,20,43,27,129,231,185,154,53,189,179,65,6,85,98,104,21,33,35,35,59,42,40,53,150,129,42,15,15,15,15,23,7,,,,1,,,,,,,,,9,211,44,2578,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,Belgium,,,,,,,29,,,,3,0,2,0,0,,12,,,5,,0,,,,,,,,3,,19,41,89,115,4,19,,18,36,1,1,,,39,161,61,93,46,62,46,37,32,15,47,160,59,32,223,242,11,110,21,54,10,12,7,17,21,50,19,99,129,41,69,86,2508,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,Finland,,,,,25,,,,,75,75,5,5,,,3,67,39,39,39,37,40,30,,63,63,,,63,63,,,15,,,,,,1,,,18,9,12,20,25,3,1,17,18,12,29,35,35,28,41,124,63,100,68,73,70,105,76,104,29,61,32,43,29,16,18,42,51,20,115,2286,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,Denmark,,,,,,,,,,,20,,,,60,12,,128,24,,,,,,,24,,,,,18,29,64,115,,,,117,36,,80,,,182,268,34,13,,,3,18,,10,2,,,5,6,8,10,8,26,26,8,19,22,21,13,25,2,,29,83,46,189,165,1965,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,Japan,,,,,2,110,38,52,3,41,1,61,100,8,14,,5,,,31,,15,9,36,55,,,,9,11,167,,,17,17,44,92,,,15,30,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,2,3,,,,,13,21,28,1813,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
