Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,Italy,196,278,937,1315,308,578,941,739,398,424,409,427,886,1219,1141,736,412,107,196,611,685,1104,1766,1023,1121,1016,711,517,682,591,468,129,241,303,273,205,198,183,179,196,155,210,192,205,180,322,265,474,56,25,278,234,240,617,490,136,384,467,159,94,98,286,189,71,127,237,734,709,275,178,201,211,237,425,494,566,34069,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,Algeria,,,,,,,,,,,,7,63,90,181,354,439,525,58,79,14,14,180,110,13,56,130,1052,1267,1823,1337,1381,1352,700,660,368,163,384,319,455,737,1039,23,22,197,312,83,37,98,388,405,539,252,204,251,159,340,507,1522,1076,831,1133,662,361,715,897,2916,1158,1278,167,601,164,450,394,205,108,33805,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,Canada,264,294,1025,1889,1248,1400,751,731,242,317,171,1576,1220,1012,742,563,306,237,336,516,623,457,376,78,229,195,53,90,130,193,442,453,277,649,654,848,849,787,712,37,157,767,407,196,473,405,419,353,111,143,529,520,418,140,341,106,97,478,423,104,242,356,207,202,316,408,246,354,185,187,248,357,214,73,198,83,33432,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,Netherlands,158,454,423,972,784,722,1110,717,455,146,255,227,294,767,1014,815,204,751,288,569,699,698,650,21,40,108,285,606,717,792,645,755,1241,1331,1173,892,792,614,393,705,273,322,237,140,205,84,203,126,269,278,123,164,247,128,130,86,304,221,147,262,171,115,190,488,8,51,69,33,139,494,575,512,725,374,333,824,33330,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,152,371,540,534,733,1767,1647,1848,3054,4222,3067,2951,3155,2752,1422,730,746,401,184,9,218,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,75,119,,,2,,,34,0,,,34,5,,31061,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,East Germany (GDR),26,,181,102,10,10,643,1096,945,593,402,205,764,767,991,924,1341,1191,1258,835,833,574,992,1059,937,564,1320,1096,1141,969,894,853,1060,952,1174,1330,697,393,624,645,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30791,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,Soviet Union,36,,,8,70,945,1538,1500,1500,975,692,175,174,237,463,485,585,577,543,578,523,525,795,583,957,771,800,876,803,842,767,804,671,725,914,1004,1422,1500,1654,1206,655,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30009,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,Czechoslovakia,90,255,715,1615,1010,1062,573,203,562,840,534,663,543,585,573,692,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,470,826,899,808,921,1164,815,669,593,875,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,Viet Nam,,,,,10,19,9,60,26,59,103,95,47,107,266,651,1138,1103,1179,909,1214,1197,1317,1283,859,493,42,42,227,1249,1017,1073,532,916,557,28,78,50,65,128,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,166,38,235,86,45,58,177,27767,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,Spain,1,11,11,95,138,228,284,282,199,329,214,103,55,15,51,382,307,303,133,181,234,637,793,895,557,1161,831,312,432,650,689,636,512,614,81,327,1081,1082,1954,835,691,109,207,299,838,355,395,192,82,357,315,140,266,239,288,358,312,343,347,228,272,166,219,155,109,152,104,82,149,35,70,134,198,159,159,237,26389,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,North Korea,885,406,235,718,285,371,456,468,874,619,405,69,181,197,168,118,832,846,1308,609,649,1502,482,535,793,561,487,297,354,313,487,347,527,339,112,963,1075,813,818,561,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,,,23782,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
