Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,14,7,1,1,27,,,,,,,,,16,,0,,,,23,65,4,84,147,117,164,370,155,146,1356,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,,Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,165,29,19,9,48,109,41,42,4,136,253,43,,18,,,,,,,,,,,,8,,,,43,,2,,,0,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,1,,1295,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,1,,29,,1,4,,0,0,10,9,,2,5,,,,47,34,15,25,1,3,30,181,445,1250,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,Uruguay,68,3,39,3,1,2,22,12,9,,17,0,100,0,2,8,6,,10,12,10,16,24,6,5,13,53,2,8,9,22,100,15,17,,12,,,16,41,39,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,10,,13,1,1173,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,,Nicaragua,,,,3,15,27,1,2,6,,2,8,6,6,2,0,2,,,,,5,5,10,,,8,19,13,,,44,69,50,167,90,91,157,63,14,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,,,1152,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,,Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,10,23,17,14,44,1,37,21,134,26,,35,54,1,94,26,59,,29,18,,8,,,,,,,43,22,30,7,,,0,,4,,,7,26,,15,19,19,,7,,2,136,27,17,3,,3,7,,1148,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,52,,,112,22,,248,,32,29,7,32,21,1078,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,,,73,10,14,34,7,8,38,119,109,75,97,77,29,1027,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,Zimbabwe,1,11,2,7,35,27,8,,61,,15,,16,20,,,,21,,,,5,21,0,2,42,20,4,16,,,15,81,34,33,28,212,29,2,,2,47,63,0,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,,,1022,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,,Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,1,1,15,1,0,,46,64,,8,12,85,60,,13,,,,4,4,,,,,17,31,7,4,,5,1,0,0,1,1,,,33,33,229,20,15,121,36,,,,,,,,11,28,,956,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,13,19,28,39,,18,7,38,48,,,,5,,13,,2,4,1,,,11,,7,5,,8,1,12,1,6,37,0,,16,,6,2,76,39,52,17,13,22,,0,2,12,,40,8,11,5,911,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,29,53,1,12,45,,,,57,2,24,8,,,20,103,4,10,18,18,,27,11,20,13,3,5,,,29,89,90,141,861,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,,Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,15,,,29,73,,1,,28,113,5,125,16,11,5,2,3,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,10,23,8,2,4,2,4,2,2,,,847,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,Senegal,,,,,,,,,,,0,8,,0,4,0,2,,1,38,,12,,1,17,,15,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,172,79,,846,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,,Ireland,2,,,18,,,8,,1,,1,,,2,12,,,,,,,14,27,8,6,9,,5,28,26,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,35,0,44,21,,27,5,13,26,38,,4,,,,40,43,43,2,5,35,9,,1,63,,14,824,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,9,5,1,,,7,41,6,,,2,0,15,,802,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,32,36,19,20,25,20,15,23,115,204,790,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,,Mali,,,,,,,,,,,,3,10,4,,,1,12,,2,,15,,,,11,89,,,,,91,4,15,13,0,,,2,,1,,,,0,,,9,4,,7,,1,3,,13,,8,3,10,,0,9,7,1,,22,32,27,20,49,39,62,82,25,64,770,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,,Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,53,40,28,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,6,1,25,12,1,46,,27,7,2,34,26,,,,0,,766,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,13,10,8,3,,,10,,,37,9,1,29,28,9,56,,,,,3,1,,,7,7,,16,,,,,18,30,83,37,43,1,4,59,58,1,2,6,7,1,4,47,6,32,10,4,707,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,43,53,212,31,20,57,18,17,80,99,,4,,,,,,,,,,,,,,,,,,,682,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,19,100,58,5,124,78,92,14,22,17,47,32,655,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,,Gabon,,,,,,,,,,,,3,,,3,0,2,,4,4,1,24,,2,11,34,47,28,76,,33,36,5,11,100,3,8,10,22,,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,6,,632,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,6,,,20,,,,2,,31,30,34,33,9,13,31,34,37,23,34,75,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,,10,1,23,0,4,,,7,,614,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,21,13,,1,5,5,15,29,17,24,,19,16,,0,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,2,126,,565,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,Congo,,,,,,,,,,,1,1,,0,,0,,1,1,23,9,27,2,,7,2,4,,35,26,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,2,2,0,,,8,7,4,1,0,,4,32,5,26,35,6,2,,,0,3,,3,,,9,,531,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,,Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,26,2,7,17,1,,18,,,22,15,38,56,19,,,9,,,,,2,,,0,,,2,,0,,2,0,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,7,22,70,7,15,528,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,16,0,0,0,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,47,19,,520,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,11,,,,5,,26,40,4,22,2,2,11,,12,32,71,2,,54,15,1,11,10,,,,,10,10,,6,8,,,5,,5,7,76,16,11,1,11,,511,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,,El Salvador,0,,,,1,1,,17,,,,,,0,,1,1,0,12,7,13,1,,1,29,46,19,10,3,11,13,5,32,21,65,42,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,4,0,3,484,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,,Dominican Republic,2,11,43,21,2,6,7,1,17,14,9,15,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,5,36,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,9,36,2,,,,10,51,12,,,,1,0,,,,4,,5,9,10,13,477,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,Guinea,,,,,,,,,,18,33,2,,0,0,18,,7,,0,1,4,5,18,24,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,26,6,,2,,1,,0,,,5,1,4,,5,,,2,1,4,,1,,1,6,6,432,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0,15,47,15,1,1,5,8,49,16,1,7,25,2,,,4,,,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,4,14,,,10,6,,,419,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,,House of Representatives (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,37,34,6,12,31,192,5,5,,8,70,418,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0,,,12,,415,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,20,31,9,5,21,2,41,2,17,17,3,3,2,,10,40,27,,,1,,,,,,,7,,26,19,,347,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,56,0,346,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,,Rwanda,,,,,,,,,,,,,11,,0,0,,,,,,0,0,2,1,3,,1,,,,,,4,6,3,2,,2,3,3,5,5,,,,1,3,9,21,15,,,,,,3,20,14,11,,,5,15,15,29,,8,3,1,,65,17,37,,,338,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,,Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,14,8,9,,,0,9,1,16,9,2,3,,12,,,4,,7,,,,,,0,,,,,,12,4,4,,3,0,16,3,,,5,7,2,24,7,3,26,12,19,37,34,316,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,4,,15,47,1,9,9,28,19,4,2,,,16,0,0,,,9,8,,3,3,,10,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,59,2,1,5,296,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,8,,6,25,3,,3,,,,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0,3,1,5,19,16,34,19,4,4,287,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,,,11,81,17,118,,,,,0,,,6,,,0,1,,,0,,,,,,1,5,1,9,279,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,,Paraguay,5,,1,1,,0,,,,,9,,11,0,8,1,1,5,9,,0,1,12,0,1,20,3,,9,1,18,5,3,0,3,36,6,,13,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,,2,,5,,,,24,257,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,13,41,19,8,,,,,8,10,,,,249,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,36,5,6,3,3,,1,8,1,,,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,4,11,,,11,1,46,19,0,,,233,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,,Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,,,232,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,,Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,,,226,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,,Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,5,2,15,6,,,,,1,,,3,4,,,,1,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,9,1,7,38,,0,,,,6,220,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,148,,Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,14,2,,1,,,1,,2,22,,19,3,10,29,,10,10,,213,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,0,0,75,200,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,,Madagascar,,,,,,,,,,,,3,,1,0,8,,12,1,1,,0,0,,17,6,,,,64,43,1,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,3,197,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0,,0,0,12,,,,1,190,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,12,14,,14,24,2,1,,,11,,35,,20,,22,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,,United Nations**,,,,,,,,,,,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,49,11,,,1,9,30,,,,2,1,2,1,0,,,,,6,23,3,9,,,,,,,,4,,185,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,,,163,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0,1,,1,2,,,,,,,,,,161,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,,Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,,Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,,,152,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,,Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,,,,,1,,,,,10,,,8,,,33,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,,,148,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,4,,2,,8,12,6,6,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0,8,,,14,,9,,,144,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,,3,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,,,138,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,,Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,,Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,3,6,1,6,,,2,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,2,,1,44,2,43,,,138,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,5,14,54,,,133,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
